google-noto-sans-cjk-fonts	1:2.004-11.fc44	noarch	User	fedora
google-noto-sans-yi-fonts	20251201-2.fc44	noarch	External User	<unknown>
google-rubik-fonts	2.100-15.20200314git2e360a2.fc44	noarch	User	fedora
graphene	1.10.8-4.fc44	i686	External User	<unknown>
greetd	0.10.3-6.fc44	x86_64	User	fedora
grim	1.5.0-3.fc44	x86_64	User	fedora
grub2-efi-ia32	1:2.12-64.fc44	x86_64	Group	updates
grub2-efi-ia32-cdboot	1:2.12-64.fc44	x86_64	Group	updates
grub2-efi-ia32-modules	1:2.12-64.fc44	noarch	User	updates
grub2-efi-x64	1:2.12-64.fc44	x86_64	Group	updates
grub2-efi-x64-cdboot	1:2.12-64.fc44	x86_64	Group	updates
grub2-efi-x64-modules	1:2.12-64.fc44	noarch	User	updates
grub2-pc	1:2.12-64.fc44	x86_64	Group	updates
grub2-tools	1:2.12-64.fc44	x86_64	Group	updates
grub2-tools-efi	1:2.12-64.fc44	x86_64	Group	updates
grub2-tools-extra	1:2.12-64.fc44	x86_64	Group	updates
grubby	8.40-88.fc44	x86_64	User	<unknown>
gsm-devel	1.0.24-2.fc44	x86_64	User	fedora
gstreamer1-devel	1.28.6-1.fc44	x86_64	User	updates
gstreamer1-plugin-dav1d	0.15.0-1.fc44	x86_64	Group	<unknown>
gstreamer1-plugin-libav	1.28.6-1.fc44	x86_64	Group	updates
gstreamer1-plugin-openh264	1.28.6-1.fc44	x86_64	Group	updates
gstreamer1-plugins-bad-free	1.28.6-1.fc44	x86_64	Group	updates
gstreamer1-plugins-bad-freeworld	1:1.28.6-1.fc44	x86_64	Group	rpmfusion-free-updates
gstreamer1-plugins-base	1.28.6-1.fc44	i686	External User	updates
gstreamer1-plugins-base-devel	1.28.6-1.fc44	x86_64	User	updates
gstreamer1-plugins-good	1.28.6-1.fc44	x86_64	Group	updates
gstreamer1-plugins-ugly	1:1.28.6-1.fc44	x86_64	Group	rpmfusion-free-updates
gstreamer1-plugins-ugly-free	1.28.6-1.fc44	x86_64	Group	updates
gtk3-devel	3.24.52-2.fc44	x86_64	User	updates
gtk3-immodule-xim	3.24.52-2.fc44	x86_64	Group	updates
gtkmm4.0	4.22.0-1.fc44	x86_64	External User	<unknown>
gum	0.17.0-3.fc44	x86_64	User	updates
gutenprint	5.3.5-7.fc44	x86_64	Group	<unknown>
gutenprint-cups	5.3.5-7.fc44	x86_64	Group	<unknown>
gwenview	1:26.08.0-1.fc44	x86_64	Group	updates
harfbuzz-gpu	14.1.0-2.fc44	x86_64	External User	<unknown>
harfbuzz-raster	14.1.0-2.fc44	x86_64	External User	<unknown>
harfbuzz-vector	14.1.0-2.fc44	x86_64	External User	<unknown>
hfsplus-tools	540.1.linux3-36.fc44	x86_64	Group	<unknown>
hidapi	0.15.0-3.fc44	x86_64	External User	<unknown>
hostname	3.25-4.fc44	x86_64	Group	<unknown>
hplip	3.26.4-7.fc44	x86_64	Group	updates
htop	3.4.1-3.fc44	x86_64	User	<unknown>
hunspell	1.7.3-1.fc44	x86_64	Group	updates
hunspell-en-AU	0.20260225-2.fc44	noarch	External User	<unknown>
hunspell-en-CA	0.20260225-2.fc44	noarch	External User	<unknown>
hyperv-daemons	6.10-3.fc44	x86_64	Group	<unknown>
ibus-anthy	1.5.18-2.fc44	x86_64	Group	updates
ibus-chewing	2.1.7-2.fc44	x86_64	Group	<unknown>
ibus-gtk3	1.5.34-4.fc44	x86_64	Group	updates
ibus-gtk4	1.5.34-4.fc44	x86_64	Group	updates
ibus-hangul	1.5.5-12.fc44	x86_64	Group	<unknown>
ibus-libpinyin	1.16.5-3.fc44	x86_64	Group	<unknown>
ibus-m17n	1.4.39-1.fc44	x86_64	Group	updates
ibus-table-chinese-cangjie	1.8.14-3.fc44	noarch	Group	<unknown>
ibus-typing-booster	2.31.0-1.fc44	noarch	Group	updates
im-chooser	1.7.6-1.fc44	x86_64	Group	<unknown>
imsettings	1.8.11-2.fc44	x86_64	Group	<unknown>
imsettings-gsettings	1.8.11-2.fc44	x86_64	Group	<unknown>
imsettings-plasma	1.8.11-2.fc44	x86_64	Group	<unknown>
initial-setup-gui	0.3.101-7.fc44	x86_64	Group	<unknown>
initial-setup-gui-wayland-plasma	44.0-1.fc44	noarch	Group	updates
intel-audio-firmware	20260810-1.fc44	noarch	Group	updates
intel-gpu-firmware	20260810-1.fc44	noarch	Group	updates
intel-vsc-firmware	20260810-1.fc44	noarch	Group	updates
iproute	6.17.0-2.fc44	x86_64	Group	<unknown>
iptables-nft	1.8.11-13.fc44	x86_64	Group	<unknown>
iptstate	2.3.0-1.fc44	x86_64	Group	updates
iputils	20250605-2.fc44	x86_64	Group	<unknown>
irqbalance	2:1.9.5-2.fc44	x86_64	Group	<unknown>
iscsi-initiator-utils	6.2.1.11-0.git4b3e853.fc44.3	x86_64	Group	<unknown>
isomd5sum	1:1.2.5-6.fc44	x86_64	User	<unknown>
iwlegacy-firmware	20260810-1.fc44	noarch	Group	updates
iwlwifi-dvm-firmware	20260810-1.fc44	noarch	Group	updates
iwlwifi-mvm-firmware	20260810-1.fc44	noarch	Group	updates
jbigkit-libs	2.1-33.fc44	i686	External User	<unknown>
jitterentropy	3.7.0-3.fc44	x86_64	External User	updates
json-devel	3.12.0-2.fc44	x86_64	User	fedora
just	1.57.0-1.fc44	x86_64	User	updates
kaccounts-integration-qt6	26.08.0-1.fc44	x86_64	Group	updates
kaccounts-providers	26.08.0-1.fc44	x86_64	Group	updates
kamera	26.08.0-1.fc44	x86_64	Group	updates
kamoso	26.08.0-1.fc44	x86_64	Group	updates
kbd	2.9.0-4.fc44	x86_64	Group	updates
kbd-legacy	2.9.0-4.fc44	noarch	Group	updates
kcalc	26.08.0-1.fc44	x86_64	Group	updates
kcharselect	26.08.0-1.fc44	x86_64	Group	updates
kde-connect	26.08.0-1.fc44	x86_64	Group	updates
kde-gtk-config	6.7.4-1.fc44	x86_64	Group	updates
kde-inotify-survey	26.08.0-1.fc44	x86_64	Group	updates
kde-l10n	17.08.3-22.fc44	noarch	User	<unknown>
kde-partitionmanager	26.08.0-1.fc44	x86_64	Group	updates
kde-settings-pulseaudio	44.0-1.fc44	noarch	Group	updates
kdebugsettings	26.08.0-1.fc44	x86_64	Group	updates
kdegraphics-thumbnailers	26.08.0-1.fc44	x86_64	Group	updates
kdenetwork-filesharing	26.08.0-1.fc44	x86_64	Group	updates
kdeplasma-addons	6.7.4-1.fc44	x86_64	Group	updates
kdialog	26.08.0-1.fc44	x86_64	Group	updates
kdnssd	26.08.0-1.fc44	x86_64	Group	updates
keditbookmarks	26.08.0-1.fc44	x86_64	Group	updates
kernel	7.1.10-200.fc44	x86_64	User	updates
kernel	7.1.12-200.fc44	x86_64	User	updates
kernel	7.1.9-200.fc44	x86_64	User	updates
kernel-core	7.1.10-200.fc44	x86_64	User	updates
kernel-core	7.1.12-200.fc44	x86_64	User	updates
kernel-core	7.1.9-200.fc44	x86_64	User	updates
kernel-modules	7.1.10-200.fc44	x86_64	User	updates
kernel-modules	7.1.12-200.fc44	x86_64	User	updates
kernel-modules	7.1.9-200.fc44	x86_64	User	updates
kernel-modules-core	7.1.10-200.fc44	x86_64	User	updates
kernel-modules-core	7.1.12-200.fc44	x86_64	User	updates
kernel-modules-core	7.1.9-200.fc44	x86_64	User	updates
kernel-modules-extra	7.1.10-200.fc44	x86_64	User	updates
kernel-modules-extra	7.1.12-200.fc44	x86_64	User	updates
kernel-modules-extra	7.1.9-200.fc44	x86_64	User	updates
kexec-tools	2.0.32-3.fc44	x86_64	Group	<unknown>
kf6-baloo-file	6.29.0-1.fc44	x86_64	Group	updates
kf6-kconfig-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kconfigwidgets-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kcoreaddons-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kglobalaccel-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kguiaddons-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-ki18n-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kiconthemes-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kio-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kwidgetsaddons-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-kwindowsystem-devel	6.29.0-1.fc44	x86_64	User	updates
kf6-networkmanager-qt-devel	6.29.0-1.fc44	x86_64	User	updates
kfind	26.08.0-1.fc44	x86_64	Group	updates
khelpcenter	1:26.08.0-1.fc44	x86_64	Group	updates
kinfocenter	6.7.4-1.fc44	x86_64	Group	updates
kio-admin	26.08.0-1.fc44	x86_64	Group	updates
kio-gdrive	26.08.0-1.fc44	x86_64	Group	updates
kitty	0.47.1-1.fc44	x86_64	User	updates
kjournald	26.08.0-1.fc44	x86_64	Group	updates
kmahjongg	26.08.0-1.fc44	x86_64	Group	updates
kmenuedit	6.7.4-1.fc44	x86_64	Group	updates
kmines	26.08.0-1.fc44	x86_64	Group	updates
kmouth	26.08.0-1.fc44	x86_64	Group	updates
kolourpaint	26.08.0-1.fc44	x86_64	Group	updates
kpat	26.08.0-1.fc44	x86_64	Group	updates
krdc	26.08.0-1.fc44	x86_64	Group	updates
krdp	6.7.4-1.fc44	x86_64	Group	updates
krfb	26.08.0-1.fc44	x86_64	Group	updates
krita	6.0.2.1-1.fc44	x86_64	User	updates
kscreen	1:6.7.4-1.fc44	x86_64	Group	updates
kscreenlocker	6.7.4-1.fc44	x86_64	Group	updates
ksshaskpass	6.7.4-1.fc44	x86_64	Group	updates
kunifiedpush	26.08.0-1.fc44	x86_64	Group	updates
kvantum	1.1.6-1.fc44	x86_64	User	<unknown>
kwalletmanager5	26.08.0-1.fc44	x86_64	Group	updates
kwin	6.7.4-2.fc44	x86_64	Group	updates
kwrite	26.08.0-1.fc44	x86_64	Group	updates
lcms2-devel	2.16-7.fc44	x86_64	User	fedora
less	704-4.fc44	x86_64	Group	updates
libGLEW	2.2.0-12.fc44	x86_64	External User	<unknown>
libX11-devel	1.8.13-1.fc44	i686	User	fedora
libXcomposite-devel	0.4.6-7.fc44	i686	User	fedora
libXcursor-devel	1.2.3-4.fc44	i686	User	fedora
libXext-devel	1.3.6-5.fc44	i686	User	fedora
libXi-devel	1.8.3-1.fc44	i686	User	updates
libXinerama-devel	1.1.5-10.fc44	i686	User	fedora
libXmu-devel	1.2.1-5.fc44	i686	User	fedora
libXmu-devel	1.2.1-5.fc44	x86_64	User	fedora
libXpm	3.5.17-7.fc44	i686	External User	<unknown>
libXpresent-devel	1.0.0-28.fc44	x86_64	User	fedora
libXrandr-devel	1.5.4-7.fc44	i686	User	fedora
libXrender-devel	0.9.12-4.fc44	i686	User	fedora
libXv	1.0.13-4.fc44	i686	External User	<unknown>
libXxf86dga-devel	1.1.6-7.fc44	x86_64	User	fedora
libXxf86vm-devel	1.1.6-4.fc44	i686	User	fedora
libXxf86vm-devel	1.1.6-4.fc44	x86_64	User	fedora
libappindicator-gtk3	12.10.1-10.fc44	x86_64	Group	<unknown>
libattr-devel	2.6.0-1.fc44	x86_64	User	updates
libavcodec-freeworld	8.1.2-3.fc44	x86_64	User	rpmfusion-free-updates
libavif	1.3.0-4.fc44	i686	External User	<unknown>
libcava-devel	0.10.7-2.fc44	x86_64	User	copr:copr.fedorainfracloud.org:celestelove:libcava
libcbor	0.13.0-2.fc44	i686	External User	<unknown>
libdnf5-plugin-appstream	5.4.3.0-2.fc44	x86_64	External User	updates
libertas-firmware	20260810-1.fc44	noarch	Group	updates
libevdev-devel	1.13.7-1.fc44	x86_64	User	updates
libexif	0.6.26-1.fc44	i686	External User	<unknown>
libfido2	1.16.0-5.fc44	i686	External User	<unknown>
libgcrypt-devel	1.12.2-1.fc44	x86_64	User	updates
libglvnd-gles	1:1.7.0-9.fc44	i686	Group	fedora
libglvnd-gles	1:1.7.0-9.fc44	x86_64	Group	<unknown>
libgphoto2	2.5.33-2.fc44	i686	External User	<unknown>
libgphoto2-devel	2.5.33-2.fc44	x86_64	User	fedora
libgudev	238-9.fc44	i686	External User	<unknown>
libheif-freeworld	1.21.2-3.fc44	x86_64	Group	<unknown>
libibverbs	61.0-2.fc44	i686	External User	<unknown>
libieee1284-devel	0.2.11-48.fc44	x86_64	User	fedora
libimagequant	4.1.0-2.fc44	i686	External User	<unknown>
libjpeg-turbo-devel	3.1.3-1.fc44	x86_64	User	fedora
liblerc	4.0.0-10.fc44	i686	External User	<unknown>
libnghttp3	1.18.0-1.fc44	i686	External User	updates
libnghttp3	1.18.0-1.fc44	x86_64	External User	updates
libnl3	3.12.0-3.fc44	i686	External User	<unknown>
libnma-common	1.10.6-11.fc44	noarch	External User	<unknown>
libnsl	2.43-8.fc44	x86_64	External User	updates
libopenjph	0.25.3-3.fc44	i686	External User	<unknown>
libpcap	14:1.10.6-2.fc44	i686	External User	<unknown>
libpcap-devel	14:1.10.6-2.fc44	x86_64	User	fedora
libpng-static	2:1.6.58-1.fc44	x86_64	User	updates
libqalculate-devel	5.9.0-1.fc44	x86_64	User	fedora
libreoffice-calc	1:26.2.6.1-1.fc44	x86_64	Group	updates
libreoffice-draw	1:26.2.6.1-1.fc44	x86_64	User	updates
libreoffice-emailmerge	1:26.2.6.1-1.fc44	x86_64	Group	updates
libreoffice-graphicfilter	1:26.2.6.1-1.fc44	x86_64	Group	updates
libreoffice-impress	1:26.2.6.1-1.fc44	x86_64	Group	updates
libreoffice-math	1:26.2.6.1-1.fc44	x86_64	User	updates
libreoffice-ure-common	1:26.2.6.1-1.fc44	noarch	External User	updates
libreoffice-writer	1:26.2.6.1-1.fc44	x86_64	Group	updates
librsvg2-devel	2.62.3-1.fc44	x86_64	User	updates
librsvg2-tools	2.62.3-1.fc44	x86_64	User	updates
libsigc++30	3.8.1-1.fc44	x86_64	External User	updates
libspng	0.7.4-10.fc44	x86_64	External User	<unknown>
libtheora	1:1.1.1-41.fc44	i686	External User	<unknown>
libtiff	4.7.2-1.fc44	i686	External User	updates
libtiff-devel	4.7.2-1.fc44	x86_64	User	updates
libultrahdr	1.4.0^20251202git8cbc983-1.fc44	x86_64	External User	<unknown>
libv4l	1.32.0-3.fc44	i686	External User	<unknown>
libv4l-devel	1.32.0-3.fc44	x86_64	User	fedora
libva-devel	2.23.0-3.fc44	x86_64	User	fedora
libva-intel-media-driver	26.2.4-1.fc44	x86_64	Group	updates
libva-utils	2.23.0-2.fc44	x86_64	User	fedora
libvisual	1:0.4.2-4.fc44	i686	External User	<unknown>
libvkd3d-devel	1.17-2.fc44	x86_64	User	fedora
libxkbcommon-utils	1.13.1-2.fc44	x86_64	User	fedora
libxml2-devel	2.12.10-6.fc44	i686	User	fedora
libxslt-devel	1.1.43-6.fc44	i686	User	fedora
libxslt-devel	1.1.43-6.fc44	x86_64	User	fedora
libyuv	0-0.61.20260213git6067afd.fc44	i686	External User	<unknown>
linkdupes	0.7.3-2.fc44	x86_64	External User	<unknown>
liquidctl	1.16.0-1.fc44	noarch	User	fedora
livesys-scripts	0.9.6-1.fc44	noarch	User	<unknown>
lm_sensors-devel	3.6.0-24.fc44	x86_64	User	fedora
lockdev	1.0.4-0.54.20111007git.fc44	i686	External User	<unknown>
logrotate	3.22.0-5.fc44	x86_64	Group	<unknown>
lrzsz	0.12.20-76.fc44	x86_64	Group	<unknown>
lshw	B.02.20-11.fc44	x86_64	User	fedora
lsof	4.98.0-9.fc44	x86_64	Group	<unknown>
lvm2	2.03.38-2.fc44	x86_64	Group	<unknown>
mactel-boot	0.9-37.fc44	x86_64	Group	<unknown>
mailcap	2.1.54-10.fc44	noarch	Group	<unknown>
make	1:4.4.1-12.fc44	x86_64	User	<unknown>
man-db	2.13.1-3.fc44	x86_64	Group	<unknown>
man-pages	6.13-3.fc44	noarch	Group	<unknown>
